Timestamp,1. Gender,2. Age,3. Municipality in which you visit parks or squares after the pandemic : ,4. Has the COVID-19 pandemic modified your usage of open greenspaces? ,5. Do you generally feel safe when you visit parks or squares ?,6. Did the COVID-19 pandemic influence your safety perception in parks or squares?,7. Would you feel physically secure knowing that park or square usage is being monitored and accessible through your phone?,8. Would you be interested in technology that enables  you to track how many people are in specific open greenspace at any point in time?,9. What particular safety concerns bother you?
1/10/2024 1:39:37,Female,41,Vračar,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 1:40:07,Female,24,"Savski venac, Stari grad",My visits have become less frequently,Yes,My perception of safety remained unchanged,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 1:40:28,Female,43,Novi Beograd,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel less safe,Yes,Yes,Park visits at night
1/10/2024 1:40:47,Female,23,Voždovac,My visits have become less frequently,No,My perception of safety remained unchanged,No,No,Visits of overcrowded greenspaces
1/10/2024 1:41:04,Male,33,Barajevo,"No, not at all",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits in deprived areas
1/10/2024 1:41:30,Female,29,Lazarevac,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 1:41:52,Male,47,Stari grad,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",No,My perception of safety remained unchanged,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 1:42:17,Female,39,Zemun,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",No,My perception of safety remained unchanged,No,No,Visits of overcrowded greenspaces
1/10/2024 1:42:44,Male,43,Sopot,My visits have become less frequently,No,I feel less safe,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 1:43:05,Male,61,Voždovac,My visits have become less frequently,Yes,I feel less safe,Yes,Yes,Park visits at night
1/10/2024 1:43:23,Female,44,Čukarica,My visits have become less frequently,No,My perception of safety remained unchanged,No,No,Visits of overcrowded greenspaces
1/10/2024 4:23:29,Female,60,"Novi Beograd, Zemun",The usage remained unchanged,Yes,I feel safer in open spaces,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 6:48:18,Female,53,Zvezdara,My visits have become less frequently,Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 8:28:36,Male,53,"Novi Beograd, Zemun",The usage remained unchanged,Yes,My perception of safety remained unchanged,No,No,Visits of overcrowded greenspaces
1/10/2024 8:48:22,Female,35,"Voždovac, Vračar, Savski venac, Stari grad, Zvezdara","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,Yes,Unsafe playgrounds
1/10/2024 9:02:59,Female,39,"Vračar, Novi Beograd, Palilula, Stari grad, Zvezdara","No, not at all",Yes,My perception of safety remained unchanged,Yes,Yes,Unsafe playgrounds
1/10/2024 9:06:33,Female,42,Novi Beograd,The usage remained unchanged,Yes,I feel safer in open spaces,Yes,No,Visits of overcrowded greenspaces
1/10/2024 9:06:52,Female,48,Voždovac,"No, not at all",No,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 9:11:36,Male,39,Voždovac,"No, not at all",Yes,My perception of safety remained unchanged,Yes,No,Park visits at night
1/10/2024 9:17:56,Male,33,Obrenovac,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Visits of overcrowded greenspaces
1/10/2024 9:24:44,Female,37,"Novi Beograd, Savski venac, Stari grad, Zemun","No, not at all",Yes,My perception of safety remained unchanged,Yes,No,Park visits in deprived areas
1/10/2024 11:10:58,Female,76,Zvezdara,My visits have become less frequently,Yes,I feel less safe,Yes,No,Visits of overcrowded greenspaces
1/10/2024 11:11:00,Male,58,Zvezdara,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 11:17:26,Female,42,Rakovica,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel safer in open spaces,Yes,No,Visits of overcrowded greenspaces
1/10/2024 11:18:21,Female,36,Novi Beograd,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 11:20:52,Female,31,"Voždovac, Vračar, Novi Beograd","No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 11:27:21,Female,50,Stari grad,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel safer in open spaces,No,Yes,Unsafe playgrounds
1/10/2024 11:41:40,Female,43,"Vračar, Novi Beograd, Palilula, Savski venac, Stari grad","No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits in deprived areas
1/10/2024 11:50:43,Female,59,Vračar,My visits have become less frequently,Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 13:06:20,Female,58,"Čukarica, Vračar, Novi Beograd, Palilula, Savski venac, Stari grad","No, not at all",Yes,I feel safer in open spaces,No,No,Park visits in deprived areas
1/10/2024 13:19:10,Female,55,Vračar,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 13:19:17,Female,56,"Vračar, Stari grad, Zemun","No, not at all",Yes,I feel safer in open spaces,No,No,Park visits at night
1/10/2024 13:47:13,Male,30,"Novi Beograd, Sopot",The usage remained unchanged,Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 13:47:20,Female,19,"Voždovac, Novi Beograd, Rakovica, Savski venac, Stari grad","No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 13:47:24,Male,42,"Čukarica, Novi Beograd, Stari grad, Zemun, Zvezdara","No, not at all",Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 13:47:46,Male,48,"Voždovac, Vračar, Novi Beograd, Palilula, Stari grad, Zemun, Grocka, Mladenovac","No, not at all",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 13:47:48,Female,32,Voždovac,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 13:48:24,Female,30,Surčin,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits in deprived areas
1/10/2024 13:48:35,Female,53,Novi Beograd,"No, not at all",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 13:51:24,Female,51,"Čukarica, Vračar, Novi Beograd","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,No,Park visits at night
1/10/2024 13:53:05,Female,34,"Čukarica, Vračar, Novi Beograd, Palilula, Savski venac, Stari grad, Zemun, Zvezdara",The usage remained unchanged,Yes,My perception of safety remained unchanged,No,No,Visits of overcrowded greenspaces
1/10/2024 13:55:17,Female,45,"Novi Beograd, Zemun","No, not at all",Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 13:56:48,Female,32,"Novi Beograd, Zemun","No, not at all",Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 14:03:21,Male,43,Zvezdara,My visits have become less frequently,Yes,I feel less safe,Yes,No,Unsafe playgrounds
1/10/2024 14:03:30,Male,34,"Voždovac, Vračar, Novi Beograd, Savski venac, Zemun","No, not at all",Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 14:03:47,Male,43,"Vračar, Novi Beograd, Savski venac, Stari grad, Zemun, Zvezdara, Sopot",The usage remained unchanged,Yes,My perception of safety remained unchanged,No,No,Park visits in deprived areas
1/10/2024 14:06:24,Female,43,Novi Beograd,"No, not at all",Yes,My perception of safety remained unchanged,Yes,Yes,Unsafe playgrounds
1/10/2024 14:06:52,Female,64,Čukarica,The usage remained unchanged,Yes,My perception of safety remained unchanged,Yes,No,Park visits in deprived areas
1/10/2024 14:06:58,Female,35,Zemun,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel safer in open spaces,No,No,Park visits in deprived areas
1/10/2024 14:09:20,Female,47,Novi Beograd,"No, not at all",No,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 14:10:15,Female,60,"Čukarica, Vračar, Novi Beograd, Rakovica, Savski venac, Stari grad","No, not at all",Yes,I feel safer in open spaces,No,No,Unsafe playgrounds
1/10/2024 14:12:37,Female,43,"Čukarica, Novi Beograd, Stari grad","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 14:14:11,Male,39,"Čukarica, Zemun",The usage remained unchanged,Yes,My perception of safety remained unchanged,No,No,Visits of overcrowded greenspaces
1/10/2024 14:18:59,Male,56,Novi Beograd,The usage remained unchanged,Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 14:20:32,Female,33,Novi Beograd,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel safer in open spaces,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 14:25:20,Male,21,"Vračar, Stari grad",The usage remained unchanged,Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 14:27:12,Female,35,Novi Beograd,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 14:27:58,Male,37,Stari grad,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel safer in open spaces,Yes,Yes,Park visits in deprived areas
1/10/2024 14:28:07,Female,22,"Čukarica, Voždovac, Vračar, Novi Beograd, Palilula, Rakovica, Savski venac, Stari grad, Zvezdara","No, not at all",Yes,My perception of safety remained unchanged,Yes,No,Park visits at night
1/10/2024 14:28:42,Female,35,Novi Beograd,The usage remained unchanged,No,My perception of safety remained unchanged,Yes,Yes,Unsafe playgrounds
1/10/2024 14:31:36,Female,29,Novi Beograd,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 14:33:36,Male,22,"Vračar, Savski venac, Stari grad, Zvezdara","No, not at all",Yes,My perception of safety remained unchanged,No,Yes,Park visits at night
1/10/2024 14:33:51,Female,30,"Novi Beograd, Stari grad","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 14:34:07,Female,52,Novi Beograd,The usage remained unchanged,Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 14:40:50,Female,22,"Novi Beograd, Zemun",The usage remained unchanged,Yes,My perception of safety remained unchanged,No,Yes,Park visits at night
1/10/2024 14:43:47,Female,27,"Novi Beograd, Savski venac, Zemun","No, not at all",Yes,My perception of safety remained unchanged,No,Yes,Park visits at night
1/10/2024 14:49:27,Male,28,"Novi Beograd, Zemun","No, not at all",Yes,My perception of safety remained unchanged,No,Yes,Park visits in deprived areas
1/10/2024 14:55:18,Male,27,Voždovac,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel safer in open spaces,Yes,Yes,Park visits in deprived areas
1/10/2024 15:00:20,Male,42,Zemun,The usage remained unchanged,Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 15:07:26,Male,40,"Čukarica, Voždovac, Vračar, Novi Beograd, Savski venac, Stari grad, Zemun","No, not at all",Yes,My perception of safety remained unchanged,Yes,No,Park visits in deprived areas
1/10/2024 15:15:45,Female,26,"Novi Beograd, Rakovica, Savski venac, Zemun",The usage remained unchanged,Yes,My perception of safety remained unchanged,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 15:16:44,Male,38,"Voždovac, Vračar, Novi Beograd, Savski venac, Stari grad, Zvezdara","No, not at all",Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 15:18:00,Female,22,Voždovac,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel safer in open spaces,No,No,Park visits at night
1/10/2024 15:24:13,Female,27,Novi Beograd,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel safer in open spaces,No,Yes,Visits of overcrowded greenspaces
1/10/2024 15:28:00,Male,34,Zemun,The usage remained unchanged,Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 15:29:07,Female,35,"Vračar, Novi Beograd, Stari grad, Zemun, Zvezdara","No, not at all",Yes,I feel safer in open spaces,Yes,No,Park visits at night
1/10/2024 15:37:51,Male,58,"Novi Beograd, Palilula, Zemun, Grocka","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel safer in open spaces,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 17:00:16,Male,37,Rakovica,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,No,Yes,Park visits in deprived areas
1/10/2024 17:37:00,Female,33,Palilula,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",No,I feel safer in open spaces,Yes,Yes,Unsafe playgrounds
1/10/2024 17:57:50,Male,39,Voždovac,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 17:58:46,Male,33,Zvezdara,The usage remained unchanged,Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 18:12:45,Male,47,"Vračar, Palilula","No, not at all",Yes,I feel safer in open spaces,No,No,Visits of overcrowded greenspaces
1/10/2024 18:29:35,Female,29,"Voždovac, Vračar, Novi Beograd, Palilula, Savski venac, Stari grad, Zemun, Zvezdara","No, not at all",Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 18:34:42,Female,60,"Čukarica, Voždovac, Vračar, Novi Beograd, Palilula, Rakovica, Savski venac, Stari grad, Zemun","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 18:40:39,Male,45,Novi Beograd,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 18:44:28,Male,33,"Voždovac, Vračar",The usage remained unchanged,Yes,My perception of safety remained unchanged,No,No,Park visits in deprived areas
1/10/2024 18:50:41,Male,35,"Novi Beograd, Stari grad, Zemun, Zvezdara","No, not at all",Yes,My perception of safety remained unchanged,Yes,No,Park visits at night
1/10/2024 18:53:14,Other,22,"Novi Beograd, Lazarevac",My visits have become less frequently,No,I feel safer in open spaces,Yes,Yes,Park visits at night
1/10/2024 18:54:02,Male,27,Vračar,The usage remained unchanged,Yes,I feel safer in open spaces,Yes,Yes,Park visits in deprived areas
1/10/2024 18:54:53,Female,41,"Rakovica, Savski venac","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,Yes,Unsafe playgrounds
1/10/2024 18:55:21,Male,45,Zemun,"No, not at all",Yes,My perception of safety remained unchanged,No,Yes,Park visits in deprived areas
1/10/2024 19:49:15,Male,57,"Palilula, Grocka",My visits have become less frequently,Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 19:50:42,Female,35,Zvezdara,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits in deprived areas
1/10/2024 19:51:16,Male,32,Stari grad,My visits have become less frequently,No,I feel less safe,Yes,Yes,Park visits in deprived areas
1/10/2024 19:51:48,Female,42,"Obrenovac, Mladenovac","Yes, I visit greenspaces  more frequently and actively than before the pandemic",No,My perception of safety remained unchanged,Yes,Yes,Park visits in deprived areas
1/10/2024 19:55:06,Female,23,"Palilula, Stari grad, Zvezdara","No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 20:03:20,Male,63,Palilula,The usage remained unchanged,Yes,I feel safer in open spaces,Yes,Yes,Park visits in deprived areas
1/10/2024 20:07:45,Female,60,"Vračar, Palilula, Stari grad","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 20:08:40,Female,48,"Vračar, Savski venac","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel safer in open spaces,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 20:10:46,Male,30,"Voždovac, Rakovica",The usage remained unchanged,Yes,I feel safer in open spaces,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 20:13:36,Female,34,"Vračar, Palilula","Yes, I visit greenspaces  more frequently and actively than before the pandemic",No,I feel safer in open spaces,Yes,Yes,Park visits in deprived areas
1/10/2024 20:14:33,Male,26,"Novi Beograd, Stari grad, Zemun",The usage remained unchanged,Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 20:15:14,Female,58,"Vračar, Zemun","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 20:19:33,Male,55,"Voždovac, Vračar, Zemun","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 20:22:27,Male,54,Novi Beograd,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel less safe,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 20:22:53,Male,38,Palilula,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",No,I feel safer in open spaces,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 20:28:43,Female,58,Čukarica,"No, not at all",Yes,My perception of safety remained unchanged,Yes,No,Park visits in deprived areas
1/10/2024 20:28:55,Female,62,Stari grad,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,No,Park visits at night
1/10/2024 20:33:46,Male,35,"Stari grad, Barajevo","No, not at all",Yes,My perception of safety remained unchanged,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 20:33:59,Female,60,"Čukarica, Novi Beograd","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 20:36:02,Male,58,"Vračar, Novi Beograd, Savski venac, Zvezdara",The usage remained unchanged,Yes,My perception of safety remained unchanged,Yes,No,Visits of overcrowded greenspaces
1/10/2024 20:36:08,Female,44,"Savski venac, Stari grad","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel safer in open spaces,Yes,Yes,Park visits at night
1/10/2024 20:38:18,Male,47,"Rakovica, Zvezdara","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel safer in open spaces,Yes,Yes,Park visits in deprived areas
1/10/2024 20:50:52,Male,33,"Voždovac, Vračar, Novi Beograd, Stari grad, Zvezdara, Sopot","No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 20:55:18,Female,33,"Voždovac, Vračar, Novi Beograd, Stari grad, Zvezdara",The usage remained unchanged,Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 20:56:10,Male,30,Zvezdara,"No, not at all",Yes,I feel less safe,Yes,Yes,Park visits at night
1/10/2024 20:57:46,Female,42,Voždovac,My visits have become less frequently,Yes,My perception of safety remained unchanged,Yes,Yes,Park visits in deprived areas
1/10/2024 20:57:47,Female,34,"Voždovac, Vračar, Novi Beograd, Stari grad, Zemun, Zvezdara","No, not at all",Yes,My perception of safety remained unchanged,No,Yes,Unsafe playgrounds
1/10/2024 21:03:12,Other,21,"Zemun, Zvezdara, Surčin","Yes, I visit greenspaces  more frequently and actively than before the pandemic",No,I feel less safe,Yes,Yes,Unsafe playgrounds
1/10/2024 21:04:00,Female,56,Novi Beograd,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 21:04:34,Female,45,Lazarevac,The usage remained unchanged,Yes,My perception of safety remained unchanged,Yes,Yes,Park visits in deprived areas
1/10/2024 21:06:18,Male,63,"Grocka, Surčin",My visits have become less frequently,No,I feel safer in open spaces,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 21:10:03,Male,30,"Vračar, Novi Beograd, Rakovica, Savski venac, Stari grad","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,No,Park visits in deprived areas
1/10/2024 21:14:47,Female,40,Barajevo,The usage remained unchanged,Yes,I feel safer in open spaces,Yes,Yes,Park visits in deprived areas
1/10/2024 21:15:10,Male,44,Vračar,My visits have become less frequently,Yes,I feel less safe,Yes,Yes,Park visits at night
1/10/2024 21:15:27,Other,18,Mladenovac,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",No,I feel safer in open spaces,Yes,Yes,Unsafe playgrounds
1/10/2024 21:15:52,Female,42,Mladenovac,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 21:16:13,Male,58,"Voždovac, Palilula, Rakovica, Zemun","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel safer in open spaces,No,Yes,Park visits in deprived areas
1/10/2024 21:17:07,Female,55,Novi Beograd,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,No,Park visits at night
1/10/2024 21:18:17,Male,32,"Savski venac, Stari grad, Zemun, Zvezdara",My visits have become less frequently,Yes,I feel safer in open spaces,No,Yes,Park visits in deprived areas
1/10/2024 21:18:43,Female,57,Obrenovac,The usage remained unchanged,No,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 21:18:58,Female,59,"Vračar, Savski venac, Stari grad, Sopot",The usage remained unchanged,Yes,My perception of safety remained unchanged,Yes,Yes,Unsafe playgrounds
1/10/2024 21:19:14,Female,20,"Palilula, Rakovica, Savski venac, Zvezdara",The usage remained unchanged,Yes,I feel less safe,No,No,Park visits in deprived areas
1/10/2024 21:22:31,Male,40,Zemun,My visits have become less frequently,Yes,I feel less safe,No,No,Park visits at night
1/10/2024 21:22:52,Male,42,Mladenovac,The usage remained unchanged,Yes,I feel safer in open spaces,Yes,Yes,Unsafe playgrounds
1/10/2024 21:23:41,Female,38,"Čukarica, Voždovac, Stari grad","No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 21:24:12,Female,29,"Čukarica, Savski venac, Grocka","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,No,Yes,Visits of overcrowded greenspaces
1/10/2024 21:25:41,Male,38,"Novi Beograd, Stari grad, Zemun","No, not at all",Yes,My perception of safety remained unchanged,Yes,No,Unsafe playgrounds
1/10/2024 21:25:53,Male,45,Čukarica,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits at night
1/10/2024 21:25:56,Male,44,"Novi Beograd, Zvezdara","No, not at all",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 21:26:15,Male,41,Zemun,"No, not at all",Yes,I feel safer in open spaces,No,Yes,Park visits at night
1/10/2024 21:27:05,Male,47,"Čukarica, Novi Beograd, Stari grad","No, not at all",Yes,My perception of safety remained unchanged,Yes,No,Unsafe playgrounds
1/10/2024 21:27:38,Female,31,"Vračar, Novi Beograd, Palilula, Savski venac, Stari grad, Zemun",The usage remained unchanged,Yes,My perception of safety remained unchanged,Yes,Yes,Park visits in deprived areas
1/10/2024 21:27:49,Female,37,Mladenovac,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 21:27:51,Female,40,"Savski venac, Stari grad","No, not at all",No,I feel less safe,No,No,Park visits at night
1/10/2024 21:28:01,Male,37,Zvezdara,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Unsafe playgrounds
1/10/2024 21:28:32,Male,45,Mladenovac,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits in deprived areas
1/10/2024 21:28:37,Female,24,Zemun,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Park visits at night
